@relation DATOS_HORNO_ENTRENA

@attribute CODBOB numeric
@attribute CLASACERO {B011F97,B100F55,K011F57,B102G33,B100F33,B085G99,C107G55,D071F55,B085F97,B102G55,B012F53,B105F55,B011B99,D094B33,C115G55,D012G99,C116G55,D012F55,B120G55,C114G55,K011B55,B025F55,B016F35,B013B55,B103G55,B103G33,D032F55,D031B33,B101F55,D094G55,B012F55,B081B99,B014F53,B012B97,X100G99,K021H53,B044H53,N013H53,B042H53,B023H53,K022H53,N017B97,B013C55,B032H53,K021H43,B100B95}
@attribute ANCHO numeric
@attribute ESPESOR numeric
@attribute LARGO numeric
@attribute PESO numeric
@attribute VELMED numeric
@attribute TMPP1 numeric
@attribute TMPP2 numeric
@attribute TMPP2CNG numeric
@attribute THC1 numeric
@attribute THC3 numeric
@attribute THC5 numeric

@data
23303056,B102G55,1115,0.6,1957,10390,104,223,802,802,790,819,840
23313001,B100F55,1150,0.67,3533,21540,109,233,826,825,815,845,865
23313002,B102G33,1090,0.76,3186,20630,109,236,826,825,824,854,873
23313003,B102G33,1090,0.76,3208,20750,117,235,826,825,830,860,877
23313004,B102G33,1090,0.76,3024,19560,118,232,823,825,831,861,878
23313005,B102G33,1090,0.76,3201,20640,93,234,828,825,820,850,866
23313007,B100F55,1150,0.62,1522,8640,85,237,828,820,810,840,855
23313008,B100F55,1150,0.62,1392,7900,100,237,826,818,808,838,853
23313009,D071F55,1200,0.77,2229,21780,101,239,796,805,798,828,846
23313010,D071F55,1200,0.77,1460,22520,118,237,804,805,816,846,869
23313011,B102G33,1090,0.76,2880,18680,108,236,827,825,822,852,875
23313012,B102G33,1090,0.76,3071,20020,112,225,827,825,827,857,877
23313013,B102G33,1090,0.76,3206,20710,116,235,826,825,830,860,879
23313014,B102G33,1090,0.76,2987,19520,120,242,825,825,831,861,879
23313015,B102G33,1090,0.76,3198,20760,120,232,823,825,832,862,880
23313016,B102G33,1090,0.76,3212,20800,120,233,825,825,832,862,881
23313017,B102G33,1090,0.76,3231,21030,120,238,824,825,832,862,881
